date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:28	2028/2028	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Jun%202022%2009:52:32%20GMT	https://resumo-react.vercel.app/robots.txt		(from )
11:52:28	77730/77730	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2009:52:32%20GMT	https://resumo-react.vercel.app/	C:/Users/lenzi/Desktop/Random/portfolio/portfolio2/resumo-react.vercel.app/index.html	(from )
11:52:28	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	date:Wed,%2015%20Jun%202022%2009:52:32%20GMT	https://resumo-react.vercel.app/img/favicon.ico	C:/Users/lenzi/Desktop/Random/portfolio/portfolio2/resumo-react.vercel.app/img/favicon.ico	(from https://resumo-react.vercel.app/)
11:52:28	61358/61358	---MCZ	200	added ('OK')	text/css	date:Wed,%2015%20Jun%202022%2009:52:32%20GMT	https://resumo-react.vercel.app/_next/static/css/54975755665b9c92.css	C:/Users/lenzi/Desktop/Random/portfolio/portfolio2/resumo-react.vercel.app/_next/static/css/54975755665b9c92.css	(from https://resumo-react.vercel.app/)
11:52:29	91434/91434	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2015%20Jun%202022%2009:52:33%20GMT	https://resumo-react.vercel.app/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	C:/Users/lenzi/Desktop/Random/portfolio/portfolio2/resumo-react.vercel.app/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://resumo-react.vercel.app/)
11:52:29	1487/1487	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2015%20Jun%202022%2009:52:33%20GMT	https://resumo-react.vercel.app/_next/static/chunks/webpack-2b99834efceef160.js	C:/Users/lenzi/Desktop/Random/portfolio/portfolio2/resumo-react.vercel.app/_next/static/chunks/webpack-2b99834efceef160.js	(from https://resumo-react.vercel.app/)
11:52:29	130132/130132	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2015%20Jun%202022%2009:52:33%20GMT	https://resumo-react.vercel.app/_next/static/chunks/framework-6e4ba497ae0c8a3f.js	C:/Users/lenzi/Desktop/Random/portfolio/portfolio2/resumo-react.vercel.app/_next/static/chunks/framework-6e4ba497ae0c8a3f.js	(from https://resumo-react.vercel.app/)
11:52:29	97479/97479	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2015%20Jun%202022%2009:52:33%20GMT	https://resumo-react.vercel.app/_next/static/chunks/main-66dc39025408cecd.js	C:/Users/lenzi/Desktop/Random/portfolio/portfolio2/resumo-react.vercel.app/_next/static/chunks/main-66dc39025408cecd.js	(from https://resumo-react.vercel.app/)
11:52:30	1651/1651	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2015%20Jun%202022%2009:52:34%20GMT	https://resumo-react.vercel.app/_next/static/chunks/pages/_app-8c03b4450648628f.js	C:/Users/lenzi/Desktop/Random/portfolio/portfolio2/resumo-react.vercel.app/_next/static/chunks/pages/_app-8c03b4450648628f.js	(from https://resumo-react.vercel.app/)
11:52:30	100518/100518	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2015%20Jun%202022%2009:52:34%20GMT	https://resumo-react.vercel.app/_next/static/chunks/710-b3ba2567a339f837.js	C:/Users/lenzi/Desktop/Random/portfolio/portfolio2/resumo-react.vercel.app/_next/static/chunks/710-b3ba2567a339f837.js	(from https://resumo-react.vercel.app/)
11:52:30	82448/82448	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2015%20Jun%202022%2009:52:34%20GMT	https://resumo-react.vercel.app/_next/static/chunks/468-5d8f5d3715507eb5.js	C:/Users/lenzi/Desktop/Random/portfolio/portfolio2/resumo-react.vercel.app/_next/static/chunks/468-5d8f5d3715507eb5.js	(from https://resumo-react.vercel.app/)
11:52:30	5201/5201	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2015%20Jun%202022%2009:52:34%20GMT	https://resumo-react.vercel.app/_next/static/chunks/pages/index-15108ae04ccd40d7.js	C:/Users/lenzi/Desktop/Random/portfolio/portfolio2/resumo-react.vercel.app/_next/static/chunks/pages/index-15108ae04ccd40d7.js	(from https://resumo-react.vercel.app/)
